elpd_diff	se_diff	elpd_loo	se_elpd_loo	p_loo	se_p_loo	looic	se_looic
0	0	-404.3210709886167	7.842762195300495	9.352941250062404	1.4682742197662355	808.6421419772335	15.68552439060099
-7.265684025457855	2.93409220403956	-411.5867550140744	8.365683512758219	16.601597710664173	2.1869541814422573	823.1735100281488	16.731367025516438
-1327.8413903371168	259.8157608983552	-1732.1624613257334	263.5608528408106	386.1886460875258	73.2550431747293	3464.3249226514667	527.1217056816212
-1398.8930937766793	288.6444713571724	-1803.214164765296	292.2045831257359	595.4133275269796	127.51228800134922	3606.428329530592	584.4091662514718
