zincid,smiles,UMAP_1,UMAP_2
ZINCoa00000uktdx,O=C1CC(CC(=O)N[C@H]2CCC[C@H]2NC(=O)C2(F)CC=CC2)=NN1,6.9106536,13.534836
ZINChn000000I1sQ,CO[C@@H](C)CCNC(=O)c1ncc(Br)cc1O,5.6696653,9.443858
ZINCop000009ceMQ,O=C(O)COCC1CCN(C(=O)c2nc(Br)c3n2CCCC3)CC1,6.1185803,13.779813
ZINCnc00000h0OTS,CC(=O)N1CC[C@@H](C)[C@@H](CNC(=O)CCc2nnc(S)n2C)C1,7.0245857,11.934753
ZINCj500000d6Noq,C[C@@H](Cc1nn[nH]n1)NC(=O)[C@]1(C)CCCNC1=O,6.059852,11.764936
ZINCmq0000009YN7,C[C@@]1(NC(=O)C23CC(C(=O)O)(C2)C3)CCOc2ccccc21,2.6104846,13.041399
ZINCmn000007ZOPS,Cc1oncc1CNC(=O)c1cc(=O)c2c(O)cccc2o1,3.7031152,10.367976
ZINCoz00000501Sg,CSCC[C@@H]1SC[C@H](C(=O)O)N1C(=O)COCc1ccccc1Cl,1.5455668,11.246331
ZINCjf000002QEKI,COC(=O)[C@@H]1COCCN1Cc1cccc(F)c1O,3.8894382,12.543567
ZINCkn00000kGOrt,C[C@H](OC1CCCC1)C(=O)N1C[C@H](F)CC[C@H]1C(=O)O,6.727611,14.104254
ZINCj700000kGg4Z,O=C(CS(=O)(=O)C12CC(C1)C2)N[C@@H](CCCl)C(=O)O,8.279768,13.659573
ZINCox000000RdHj,O=C(O)[C@@H](C(=O)N1CCC[C@H](Cc2cccnc2)C1)C1CCCC1,5.3292017,14.149977
ZINCin00000kGbDU,Cc1occc1C(=O)NC12CC(CC(=O)O)(C1)C2,3.5580933,14.017969
ZINCnf0000016zbb,COc1ccc(OCC(=O)NC[C@H](C(=O)O)[C@@H]2CCOC2)cc1,3.0780084,12.606713
ZINCnr000005SN5i,CCN(CCCC(=O)O)C(=O)Cc1ccn(-c2ccccc2)n1,1.7496217,10.992016
ZINCnu000004GBnp,O=C(NCC=CCN=c1nc(O)c(Br)c[nH]1)[C@@H]1C[C@H]2CCC[C@H]21,6.5623713,12.779437
ZINClE0000036zRp,C[C@@H]1CN(C(=O)Nc2ncc(C(C)(C)C)s2)CC(C)(C)O1,7.8004475,11.658888
ZINCmi000001p5Em,CO[C@H](C(=O)O)C(=O)Nc1cccc(N2CCCCC2=O)c1,3.4549303,13.191163
ZINCo600000riYRg,CCONC(=O)CN1CCC(=O)N(Cc2conc2COC)C1=O,6.9528584,10.572023
ZINCpv000006K4T8,O=C(C[C@@H](O)c1cc(Cl)cc(Cl)c1)NCC[C@@H](C(=O)O)c1cn[nH]c1,4.661592,9.312591
ZINCns000005QGdE,CO[C@@H]1C[C@@H](C(=O)O)N(Cc2cnn(-c3ccc(Cl)cc3)c2)C1,3.0818686,11.624879
ZINChc0000093fbl,Cc1nc(=NC(=O)NCC23CC(CO2)C3)o[nH]1,6.9090605,12.605884
ZINCkE000002fkLs,CCn1nc(C)c(NS(=O)(=O)c2cc(Br)sc2C)c1C,3.161618,8.246078
ZINCop000009YQje,CC1(C)C[C@H](CO)CN1C(=O)c1nn(-c2ccc(F)cc2)cc1O,3.211151,11.1545315
ZINCml000001Tg2g,C[C@@](NS(=O)(=O)[C@H]1CCOC1)(C(=O)O)c1cc(Br)ccc1F,4.3240523,14.700317
ZINChb000000f3JN,COCC(=O)NCc1cccc(CC(=O)O)c1,2.6037366,10.11667
ZINCod000009ju5M,O=C(O)C1(NC(=O)[C@H]2C[C@@H](n3cnnc3)C2)CC2(CCOCC2)C1,6.4249015,14.639712
ZINCp5000003J6yI,Cc1cc(=NCCOCCNC(=O)c2cnncc2O)[nH]c(CO)n1,5.90378,10.307674
ZINCm5000008tBFa,CN(CCNC(=O)c1nnc(O)cc1O)C(=O)[C@@H]1CCCS1,6.2832375,12.487759
ZINCoi00000bJUFi,CN(C(=O)c1snc(O)c1Cl)[C@H](CNC(=O)C1=NOCC1)C1CC1,6.066651,12.890914
ZINCkx000004q1aC,O=C(Nc1nnc(-c2ccon2)s1)[C@@H]1CCCC12CC2,6.104781,12.632502
ZINCow0000047Mfn,Cc1cc2c[nH]nc2cc1C(=O)N[C@](C)(C(=O)O)c1ccccc1,2.3286684,10.694562
ZINCmd000000OY50,CS(=O)(=O)Nc1ccc(Oc2c[n+]([O-])ccc2[N+](=O)[O-])cn1,2.765258,9.130946
ZINClq0000003MXL,CC[C@H](C(=O)O)N(CC)C(=O)c1cnc(C(C)(C)C)nc1,7.07465,9.566238
ZINCnt000004cfjL,CCc1n[nH]c(=N[C@@H]2C[C@@H]3C[C@H](C2)CN3C(=O)[C@@H](CC)OC)s1,7.084963,12.080465
ZINCio00000falsO,C#CCOCC(=O)Nc1nc(CC(F)(F)F)cs1,9.512661,10.263027
ZINCmC000003h63e,Cc1cscc1C(=O)N[C@@H](CC(=O)O)c1c(F)cccc1F,3.6075284,9.699743
ZINCoe000009DM8p,CC(=O)N1CC2(CC[C@@H](C(=O)Nc3nc4c(s3)CN(C)CC4)O2)C1,6.1957555,13.657683
ZINClc00000kHSFr,CCCCn1cc([C@@]23C[C@@H]2CN(C(=O)CC(=O)O)C3)nn1,7.9421763,10.980282
ZINCjc000002CvpE,CC1=C(C(=O)NS(=O)(=O)C[C@H]2CC[C@@H](C)O2)CCO1,5.847934,15.09841
ZINCjA000003zkDu,CC(C)OCCCCNC(=O)c1ccc(Br)c(O)c1,5.547665,9.110389
ZINCky000001tMMX,O=C(O)c1cccc(NCc2ccc3n[nH]cc3c2)c1,3.1220732,10.458862
ZINCpn00000dvfak,CC12CN(C(=O)[C@H]3CCCN3C(=O)c3ccccc3)C(C(=O)O)(C1)C2,2.2663648,12.713375
ZINCm8000009zSzP,CC[C@@H](C(=O)N[C@H](C(=O)NC)c1ccccc1)c1nn[nH]n1,4.15883,11.209771
ZINCnt00000965FJ,O=C(NCC1(NC(=O)c2snc(O)c2Cl)CC1)c1cc(Cl)ns1,5.5158644,10.294488
ZINCpD000001GIic,CCc1nnc(NC(=O)[C@@H](C)[C@H](C)NC(=O)c2ccnc(Br)c2Cl)s1,5.786386,10.133006
ZINCnd00000bjnfE,COc1ccc(C(=O)N2CCOC[C@H]2c2nn[nH]n2)c(N)c1Br,4.8687205,11.487907
ZINCps000005v0DI,COc1cc(C[C@@H](NC(=O)[C@@H](C)c2ccco2)C(=O)O)cc(OC)c1,3.380524,9.714614
ZINCoo00000jBWsF,Cn1cc(P(C)(C)=O)c(=NC(=O)N2CCO[C@@H](C(F)(F)F)CC2)[nH]1,9.809551,11.1338005
ZINCnn00000bWzcF,COc1c(C(=O)Nc2csnn2)nnn1Cc1ccc(C)cc1,3.9258626,10.600612
ZINCmt000005s9KK,CC[C@H](COC)C(=O)Nc1ncc(C(=O)C2CCOCC2)s1,7.192453,13.530705
ZINCnr000007Zfi2,O=C(N[C@H]1C[C@@H](CNC(=O)[C@@H]2C[C@H]2F)C1)c1ccc(O)c(Br)c1,4.3925924,12.829115
ZINCnb000000DnkN,CN(Cc1cccc(F)c1F)C(=O)CCCn1c(O)nnc1O,5.048459,9.304238
ZINCmi000004TUOI,CON=CC(=O)NC1CC(CCN=c2nc(O)c(Br)c[nH]2)C1,6.9774623,12.028461
ZINClp000008Yw5U,Cc1cn(C(F)F)[nH]c1=NC(=O)NCCn1ccnc1C,5.181797,9.984664
ZINCoy0000006PsC,COc1cccc(S(=O)(=O)NC(=O)c2ccc(F)c(CSC)c2)c1,2.3364713,9.144294
ZINCp500000fN8gN,NC(=O)NCCC[C@H](NC(=O)c1ccc(-n2cccn2)nc1)C(=O)O,2.7325602,10.228435
ZINCny000002CQDv,COC(=O)c1[nH][nH]c(=NC(=O)NC2CCC(C(C)C)CC2)c1C,7.013564,13.025269
ZINCo7000003Q3C6,C[C@H](C[C@@H](C)NC(=O)c1cccn(O)c1=O)NC(=O)c1cn[nH]c1,4.435691,9.538841
ZINCoD000000VmhU,CC(F)(F)C[C@H](NCc1c(F)cccc1OCC(F)(F)F)C(=O)O,10.003976,9.822118
ZINCoA000000oEpo,CCc1ccc(-c2csc(NC(=O)c3c(C)ncnc3O)n2)cc1,3.9279082,10.602122
ZINCpo00000dsaVr,CC(C)(NC(=O)CCCCCCCS(C)(=O)=O)c1cc(C(=O)O)[nH]n1,7.625788,10.719055
ZINCmn00000dB59q,O=C(N[C@H](CF)c1ccc(-c2nn[nH]n2)cc1)c1cncs1,4.3445177,10.981052
ZINCi70000012HKw,C[C@@H](C[C@@H]1CCCO1)C(=O)N[C@@H](CCO)C(=O)O,8.094157,13.677485
ZINCo9000004tdpe,CCn1nc(C(=O)NCC[C@H]2CCCN(C(=O)[C@H](C)O)C2)cc1O,7.6762843,12.649499
ZINCnx000002gAhk,CCc1ncncc1NS(=O)(=O)c1ccccc1OC(F)(F)F,10.006648,9.557024
ZINCil00000c9tjF,Cc1sccc1S(=O)(=O)N[C@@H](CC1CC1)C(=O)O,5.12955,14.999903
ZINCk900000gwrgq,CC(=O)OCC(=O)NCCNC(=O)c1c(Br)n[nH]c1Br,6.7819858,10.48309
ZINCmv000001nr27,CCCC(=O)NC1CCN(C(=O)c2c(O)cccc2Cl)CC1,4.574426,13.283455
ZINCoD000002QQ8D,C=CC[C@H](C)C(=O)N1C[C@@H]2C[C@H](C1)C2N=c1[nH]nc(C(C)(C)C)s1,7.6317754,11.901076
ZINCmC000003h0By,CCCCC[C@@H]1SC[C@H](C(=O)O)N1C(=O)c1cncc(I)c1,7.814107,10.772861
ZINCob000000Blsd,CC(=O)OCC1CCN(S(=O)(=O)N2CCC(C(=O)O)=C(F)C2)CC1,6.1337185,14.670469
ZINCoi000009C2PR,CCCn1ncc(C(=O)OCC(=O)NNC(=O)c2cccs2)c1C,4.626978,9.275527
ZINCow0000049aPE,CC(C)[C@@H](CCNC(=O)c1cnnc(-c2ccccc2)c1)C(=O)O,1.8395882,10.737761
ZINCnc000000JDMr,CNC(=O)NNS(=O)(=O)c1ccc2c(c1)N(C(C)=O)CC[C@@H]2C,3.2031689,8.749392
ZINCm5000006eOs6,COC[C@H](ONS(=O)(=O)c1cnn(CC2CCC2)c1)C(=O)O,8.535241,13.223143
ZINCpt000000dtjY,O=C(NC[C@@H](Oc1ccc(Br)cc1)C(=O)O)c1ccnn1CC1CC1,2.8611968,11.154736
ZINCns000005Td3n,COC(=O)C[C@H](CC(=O)O)NC(=O)CSCc1ccc(Br)cc1,4.1691303,9.1685
ZINCj7000002mM57,C=CCCONC(=O)c1ccc(=O)n(CCOC)n1,7.279918,10.383164
ZINClh00000bmUu0,COCCc1nc(=NC(=O)N[C@H]2CCn3ccnc32)s[nH]1,6.2835364,11.473388
ZINCoE000003xFn0,C=CCC1(C(=O)N[C@@H](Cc2ccc(Cl)nc2Cl)C(=O)O)CC=CC1,3.6584685,9.677181
ZINCnw0000029B52,O=S(=O)(NCc1nc(C2CCOCC2)n[nH]1)c1cc(Br)sc1Cl,5.0393615,14.951647
ZINCp400000mihsz,CC(=O)N1CC(C(=O)N2CC[C@H](NC(=O)[C@@H](O)P(C)(C)=O)[C@@H](O)C2)C1,8.813625,13.906924
ZINCkg00000gX2d1,CCC(CC)(CC)C(=O)NS(=O)(=O)[C@H]1COC[C@H]1OC,8.572971,13.003644
ZINCpn00000dvEmV,O=C(Cn1cnc2ccc(Br)cc2c1=O)NC[C@H](CC1CC1)C(=O)O,3.0701568,11.006996
ZINCjy000005TwpJ,CC1(C)CCN(Cc2ccncc2Cl)[C@@H](C(=O)O)C1,7.1594934,13.121932
ZINCni00000kzbOc,O=C(CCn1ccc(O)nc1=O)Nc1nc2cc(Cl)ncc2s1,4.2841477,10.506674
ZINCkv000000Ykly,Cn1cccc1C(=O)NS(=O)(=O)c1ccc(I)cc1Br,2.338497,9.075327
ZINCns000000O1Cw,Cc1ccc2snc(C(=O)NCC3(C(=O)O)CCOCC3)c2c1,3.1013296,12.62886
ZINCnx000002kvn9,COc1ccc(C[C@@H](NC(=O)c2ccccc2I)C(=O)O)cc1,2.3989139,10.433524
ZINCj9000002tmb0,COC1(OC)CC[C@H]1C(=O)N[C@H](C)c1nc(=O)o[nH]1,7.779476,12.655199
ZINCnu000009CTXK,O=C(NS(=O)(=O)[C@H]1CC=CCC1)c1cccc(C(=O)C2CC2)c1,3.671704,14.081813
ZINClf00000cdFeg,O=C(C[C@H](CCO)C(=O)O)NC[C@@H](O)c1cccc(Cl)c1,4.4716463,9.259407
ZINCok00000dHWkU,CC(C)(C)C1=NO[C@@H](C(=O)N2CCC3(CC(c4nn[nH]n4)C3)C2)C1,6.1306705,12.130371
ZINCo9000000vPGH,O=C(O)C1CN(C(=O)NC[C@@H]2CCN(c3ccccc3)S2(=O)=O)C1,2.0287814,12.377377
ZINCnd00000bjlJx,CN(C)Cc1cc(CN[C@]2(C(=O)O)C[C@@](O)(C(F)(F)F)C2)no1,9.748291,10.699037
ZINClc00000kHT9z,C[C@@H](C(=O)O)n1cc(C2(NC(=O)c3cc[nH]c3)CC2)nn1,4.6172857,10.250651
ZINCl500000hK6fs,CC(C)(C(=O)NCc1ccc2nncn2c1)c1nn[nH]n1,5.0664053,10.851195
ZINCnz000004Saru,O=C(CCc1ccoc1)NC[C@H](Cc1ccccc1Cl)C(=O)O,1.946611,10.58349
ZINCng000006LNt6,CS(=O)(=O)c1ccc2ncnc(N3CC4CC3(C(=O)O)C4)c2c1,2.1572433,9.038801
ZINClu000000Z6zu,COc1cc(C(=O)O)ccc1N[C@@H](C)CCn1cccn1,2.8101034,10.350157
ZINCno00000cC9i2,O=C(O)CNC[C@@H]1CCCN(C(=O)c2cc(F)c(O)c(Br)c2)C1,4.4402795,13.07584
ZINCow000000hRZW,C#CCC(CC#C)NC(=O)C(=O)Nc1ncc(C2CCCCC2)s1,6.3930554,14.159393
ZINCnd00000hDlB3,CCc1cc(C(=O)NC[C@@H](C)N(C)C(=O)[C@H](O)P(C)(C)=O)on1,6.699148,9.39849
ZINCl900000iysXk,O=C(COCCc1ccc(Cl)s1)N[C@H](CO)c1nn[nH]n1,4.9550805,10.918512
ZINCny000005VhLW,CC(C)=CC[C@@H](NC(=O)Cn1c(C)cc2ccccc21)C(=O)O,1.6420065,10.807655
ZINCoB000002bzEK,C=C(C)CCC(=O)NC[C@@H](C)N(C)C(=O)c1ccc(Cl)c(F)c1O,5.592139,9.088013
ZINCjf00000chuBd,CCCc1occc1C(=O)NO[C@@H](COC)C(=O)O,7.147156,9.788685
ZINCmB000001hQqZ,O=C(c1nn(-c2ccccc2)cc1O)N1CCC(Cl)=C(Cl)C1,2.7475245,11.509472
ZINClq000005QYLC,CCCC[C@](C)(NC(=O)CCSc1nccn1C)C(=O)O,7.6446395,10.202966
ZINCnc00000hjGLG,C[C@H]1CN(C(=O)c2cc(Br)no2)C[C@@H]1NC(=O)c1coc(O)n1,5.128807,12.64333
ZINCpE000000g8Yj,Cc1c(CNC(=O)N=c2[nH]nc(-c3cc(Br)ccc3F)s2)cnn1C,4.1684074,10.409559
ZINCng00000jfGTi,COCC(C)(C)CC(=O)NCCN(C)C(=O)c1ccncc1O,6.242687,9.283436
ZINCpg00000fT3CF,CC[C@@]1(C)CC[C@@H](C(=O)NCCCNC(=O)Cc2sc(O)nc2O)O1,7.3822985,10.984726
ZINCky000004rgQg,CCN(CCC(=O)O)C(=O)[C@@H](C)Cc1ccc(Cl)cc1,3.9389093,9.250254
ZINCpx000006MKXN,O=C(O)CN(Cc1cccnc1)C(=O)[C@H]1CC[C@@H](n2cccc2)CC1,2.275522,12.305671
ZINCjb00000catky,CC(C)(OCC(=O)NCCC12CC(CO1)C2)C(=O)O,8.459472,13.159905
ZINCoA000000wEwZ,O=C(O)c1cc(S(=O)(=O)NC2CC3(CCOCC3)C2)cc(Br)c1Cl,4.6508064,14.46213
ZINCji00000cbdBN,O=C(O)[C@H](F)C(=O)N1CCC[C@@H]([C@H]2CCCCO2)C1,6.4887953,14.339742
ZINCk700000gtfr1,O=C(O)CCN1CCN(C(=O)[C@@]23CC[C@@H](CO2)C3)CC1,6.367505,14.224558
ZINClD000002Wq7F,Cc1c(Cl)sc(Cl)c1S(=O)(=O)N[C@@H](CCO)c1ccco1,2.8641438,8.28281
ZINCol000009K8eu,C#Cc1ccnc(C(=O)NS(=O)(=O)N(CC)Cc2ccccc2)c1,1.7712114,10.108977
ZINCor000001kKFp,C=C[C@@](C)(CCOC)C(=O)N[C@@H](C)CCNC(=O)[C@H]1CSCCS1,8.123021,11.7593155
ZINCng000006KqZt,COC[C@@](C)(O)C(=O)NC[C@]1(CN=c2[nH]ncs2)CC12CCC2,6.9510565,12.322536
ZINCpC000001xOOv,O=C(O)c1coc(CNCc2ccc(OCc3ccccn3)cc2)c1,2.7910862,10.493495
ZINCk600000dqSx2,CN1CCOC[C@H]1C(=O)Nc1nc2c(O)ncnc2s1,5.6991477,12.4389
ZINCns000000JA1T,COc1ccc(C(=O)N2CC[C@H](C(=O)O)[C@H]2C)cc1OC(F)F,3.6512089,12.331478
ZINCos000000sWqd,COc1ccc(OCC(=O)N2CCCN(CC(F)(F)F)CC2)cc1,10.250673,10.267779
ZINCms000003NXqw,COC[C@]1(C(=O)O)CCCN1C(=O)[C@H]1CCCC[C@@H]1C1CC1,6.603511,14.251631
ZINCli00000kH79Y,Cc1noc(CN2CCC3(CC2)CO[C@H](CC(=O)O)C3)n1,6.19057,14.082113
ZINCor000001iJOs,C=CC(=O)N1CC2CC1(CNC(=O)C[C@@H]1CC3(CCCC3)CO1)C2,6.688096,14.75448
ZINCps000005vcLp,Cc1oc(Cn2cc(-c3c4c(nn3C)CCCC4)nn2)cc1C(=O)O,5.2332788,12.097271
ZINCki0000058Zdt,CC[C@H](CNC(=O)Cc1ccc(CO)c(C)c1)C(=O)O,4.625754,9.046821
ZINCnr000000zD3p,O=S(=O)(Nc1ccc2cc[nH]c2n1)c1ccn(CC(F)(F)F)n1,10.087763,9.6783
ZINCkk00000dEtmK,CC(C)CCn1nccc1NS(=O)(=O)c1cncn1C,2.796379,8.810459
ZINCos000000gpIj,O=C(CNC(=O)c1ccc(Br)o1)NCc1ccc(OC(F)F)nc1,3.133349,10.02767
ZINCku000004OGfG,C[C@@H]1CC[C@H](CC(=O)Nc2ccc(C(=O)O)c(F)c2)O1,3.8050704,12.803712
ZINCmo00000dTsdY,O=C(N[C@@H]1CC[C@@H]1C1CC1)c1cnc(-c2nccs2)nc1O,5.70775,13.472386
ZINCoA0000023746,C[C@@H](CN=c1[nH]nc(C(F)F)s1)N(C)C(=O)COC1CCCCC1,6.8317633,12.091359
ZINCkq0000003SVV,CN(CC(=O)NC(C)(C)C)Cc1ccc(O)c(F)c1F,5.27577,8.809761
ZINCof000009GaVh,CC[C@H](Br)C(=O)N1CC[C@H]2[C@@H]1CCN2C(=O)C[C@@](C)(O)CC(=O)O,7.6435876,13.561797
ZINCju000005Lh0k,C1CCC(SCCN2CCC[C@H]2c2nn[nH]n2)CC1,5.9600983,12.271086
ZINCnw000001WNfd,CN(C1CCCC1)S(=O)(=O)NCC[C@H](CCC(C)(C)C)C(=O)O,8.496344,12.910062
ZINCov000000euAl,COc1ccc(C(=O)N[C@](C)(CC(=O)O)c2ccccn2)cc1C,2.504912,10.369746
ZINCo7000003MUNZ,CSc1ncc(C(=O)N2CCC[C@@H]2CN=c2nnn(C)[nH]2)c(O)n1,5.7013774,12.30207
ZINCjw000005QE3g,C[C@@H](NS(=O)(=O)c1cc(F)c(Cl)cc1F)C1CSC1,3.03711,8.674634
ZINCkb00000gFtcX,O=C1CC(C(=O)NCCc2ccc(C(F)F)cn2)=NN1,4.920613,9.956422
ZINCpv000006JSzY,CC(C)(C)Oc1cccc(CCC(=O)N[C@H]2C[C@@H]([C@H](F)C(=O)O)C2)n1,8.188701,12.206538
ZINCof000009fq5n,COc1ccccc1[C@@H](NC(=O)c1ccc2nn[nH]c2n1)C(=O)O,2.5868578,10.60959
ZINCpx000006MJbR,O=C(N[C@@H](CC1CC1)C(=O)O)[C@H]1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1,4.067574,13.184345
ZINCkj00000dEfCa,O=C(O)C1(CCN2CCc3nocc3C2)CCOCC1,6.0353904,14.2718725
ZINCo600000riq3l,CCOC(=O)CC(=O)N[C@@H]1CCC[C@H](NC(=O)c2coc(O)n2)C1,6.8322196,13.457952
ZINCiu000004mDqh,CC[C@H](CCNC(=O)CC(C)(C)C1CC1)C(=O)O,8.424079,12.708762
ZINCj600000ch4Xl,O=C(O)CNC(=O)CCNC(=O)c1ccc(Cl)cn1,5.6241207,9.40108
ZINCmd000000Rzjo,O=C(O)C[C@@H](NC(=O)CNC(=O)Cc1ccccc1)C1CC1,1.5369519,11.672704
ZINCoj00000dnVw1,Cn1c(Cc2nn[nH]n2)nnc1N1CC[C@@]23CC[C@@H](C[C@H]12)C3(C)C,5.871664,12.048163
ZINCmf000000ZAdN,C=CCn1cc(CNS(=O)(=O)c2cc(F)ccc2C#N)nn1,2.6688426,8.593528
ZINCma000003HN51,CC1=NOC(=O)[C@@H]1CC(=O)N1CCC[C@@H](N=c2[nH]nco2)C1,6.4042997,12.4787
ZINCj500000c9Z2F,O=C(Cn1ccnn1)N1CC[C@H](C(F)(F)C(=O)O)C1,9.753993,11.219993
ZINCio00000211IZ,Cc1nc(C)c(CNC(=O)N=c2cccn[nH]2)s1,4.8565264,10.3701725
ZINCj6000002mBq1,O=C(O)c1ccc(NC(=O)[C@@H]2CCS(=O)(=O)N2)cc1,3.2530432,12.653891
ZINClo00000cfcP2,C/C(=N\Nc1cccc(C#N)n1)c1ccc(C(=O)O)nc1,3.038199,10.492248
ZINCpC000001c9XW,CC(C)(C)Oc1ccc(C(=O)NC[C@H](C(=O)O)C2CCCCC2)nc1,5.6391606,14.210869
ZINCjC0000060cYE,Cn1[nH]c(=NC(=O)NCc2cc(Cl)c(Cl)s2)cc1F,4.6711025,9.74757
ZINCm5000008AmgQ,COC[C@@H]1C[C@H]1C(=O)N1CCN(C2CC2)[C@@H](c2nn[nH]n2)C1,6.0292535,12.20603
ZINCmr000000kmpI,CC[C@H](CSc1ccccc1)NC(=O)C[C@@H](CO)CC(=O)O,1.322355,11.070141
ZINCoD000001bK8v,Nc1cc(S(=O)(=O)NC(=O)[C@@H]2CC[C@H]3CCCC[C@@H]3C2)ccc1Cl,3.9840302,14.337281
ZINCkz000004u3ps,CCCC[C@@](C)(NC(=O)[C@H](C)c1ccccc1)C(=O)O,1.2890321,10.93876
ZINCkm000005Lx40,NC(=O)[C@@H]1CCCN(C(=O)c2c(O)cc(Br)cc2F)C1,4.56322,13.025766
ZINCnx000002q4Tj,Cc1nc(-c2cccc(Cl)c2)[nH]c1C(=O)N1[C@@H](C)C[C@@H]1C(=O)O,3.1167278,11.433475
ZINClq0000007Cku,C[C@@H](CC(=O)O)CC(=O)NCc1cccc(P(C)(C)=O)c1,4.227439,9.06715
ZINCms000003NXIa,CO[C@H](C(=O)N1CC[C@@H](C(=O)O)C[C@@H]1C1CC1)C1CCCC1,6.640017,14.132846
ZINCoe00000Adsxj,O=C(O)Cn1cc(C[C@@H]2CCCN(C(=O)c3ccccn3)C2)nn1,4.489331,12.109672
ZINCjo000003H0Ug,C=C[C@H](C)ONC(=O)[C@]1(C)COc2ccccc2O1,1.5952467,10.628711
ZINCov000000aVSw,C=C(Cl)C[C@@H](NC(=O)[C@@H]1CCN(c2ccccc2Br)C1=O)C(=O)O,1.764952,11.182698
ZINCkg00000gYtWK,COCc1ncc(CN2CC[C@@H](C(F)(F)C(=O)O)C2)[nH]1,9.7974205,11.11069
ZINCnA000003KZgK,CC(C)[C@H](NC(=O)N[C@H](C)c1cc2cccc(F)c2o1)C(=O)O,4.4109364,9.098762
ZINCos000004LZzS,COc1ncccc1C(=O)O[C@@H]1CCCC[C@H]1NC(=O)C(F)(F)F,10.136679,10.626029
ZINCm8000007xgOp,COC(=O)c1n[nH]c(NC(=O)c2ccc(OCCO)cc2)n1,3.29971,10.218464
ZINCog00000zRJ22,Cc1ccnc2nc(C(=O)N3[C@H](C(=O)O)CC[C@@H]3C(F)(F)F)nn12,10.001139,10.641138
ZINCkq000003WPuc,CSc1ccccc1C(=O)Nc1cn(C)nc1C(=O)O,2.248589,10.587857
ZINCnd000005JErp,CC[C@@]1(C)C[C@@H]1C(=O)N[C@H](C)CNC(=O)c1ccc(=O)n(O)c1,5.416793,8.937853
ZINCip00000cgQEK,Cc1ncc(C(=O)N(CC(=O)O)C2CCCC2)s1,6.4169445,14.094404
ZINCml0000074HDP,Cc1n[nH]cc1CC(=O)N1CC[C@H](C(F)(F)F)C[C@@H]1C(=O)O,9.872791,10.943553
