zincid,smiles,UMAP_1,UMAP_2
ZINCoa00000uktdx,O=C1CC(CC(=O)N[C@H]2CCC[C@H]2NC(=O)C2(F)CC=CC2)=NN1,4.1719446,3.5144272
ZINChn000000I1sQ,CO[C@@H](C)CCNC(=O)c1ncc(Br)cc1O,-0.006552652,7.755217
ZINCop000009ceMQ,O=C(O)COCC1CCN(C(=O)c2nc(Br)c3n2CCCC3)CC1,-4.9669476,7.7986298
ZINCnc00000h0OTS,CC(=O)N1CC[C@@H](C)[C@@H](CNC(=O)CCc2nnc(S)n2C)C1,3.8397586,0.6716972
ZINCj500000d6Noq,C[C@@H](Cc1nn[nH]n1)NC(=O)[C@]1(C)CCCNC1=O,-2.259242,2.1056712
ZINCmq0000009YN7,C[C@@]1(NC(=O)C23CC(C(=O)O)(C2)C3)CCOc2ccccc21,2.3148408,10.54776
ZINCmn000007ZOPS,Cc1oncc1CNC(=O)c1cc(=O)c2c(O)cccc2o1,-0.4496253,5.3453445
ZINCoz00000501Sg,CSCC[C@@H]1SC[C@H](C(=O)O)N1C(=O)COCc1ccccc1Cl,-5.257066,9.3207
ZINCjf000002QEKI,COC(=O)[C@@H]1COCCN1Cc1cccc(F)c1O,-5.691406,8.225628
ZINCkn00000kGOrt,C[C@H](OC1CCCC1)C(=O)N1C[C@H](F)CC[C@H]1C(=O)O,-4.8313346,9.324516
ZINCj700000kGg4Z,O=C(CS(=O)(=O)C12CC(C1)C2)N[C@@H](CCCl)C(=O)O,12.598717,6.913467
ZINCox000000RdHj,O=C(O)[C@@H](C(=O)N1CCC[C@H](Cc2cccnc2)C1)C1CCCC1,-5.444004,8.149106
ZINCin00000kGbDU,Cc1occc1C(=O)NC12CC(CC(=O)O)(C1)C2,1.3304793,10.834029
ZINCnf0000016zbb,COc1ccc(OCC(=O)NC[C@H](C(=O)O)[C@@H]2CCOC2)cc1,1.6452711,10.355201
ZINCnr000005SN5i,CCN(CCCC(=O)O)C(=O)Cc1ccn(-c2ccccc2)n1,-5.4740725,5.1685348
ZINCnu000004GBnp,O=C(NCC=CCN=c1nc(O)c(Br)c[nH]1)[C@@H]1C[C@H]2CCC[C@H]21,-0.7812681,7.0095263
ZINClE0000036zRp,C[C@@H]1CN(C(=O)Nc2ncc(C(C)(C)C)s2)CC(C)(C)O1,2.7511184,3.5611825
ZINCmi000001p5Em,CO[C@H](C(=O)O)C(=O)Nc1cccc(N2CCCCC2=O)c1,-3.6797395,9.006639
ZINCo600000riYRg,CCONC(=O)CN1CCC(=O)N(Cc2conc2COC)C1=O,-2.1383975,4.848699
ZINCpv000006K4T8,O=C(C[C@@H](O)c1cc(Cl)cc(Cl)c1)NCC[C@@H](C(=O)O)c1cn[nH]c1,-0.44621536,6.3607435
ZINCns000005QGdE,CO[C@@H]1C[C@@H](C(=O)O)N(Cc2cnn(-c3ccc(Cl)cc3)c2)C1,-5.737254,5.602553
ZINChc0000093fbl,Cc1nc(=NC(=O)NCC23CC(CO2)C3)o[nH]1,-0.10688981,1.4277865
ZINCkE000002fkLs,CCn1nc(C)c(NS(=O)(=O)c2cc(Br)sc2C)c1C,13.279114,1.9431124
ZINCop000009YQje,CC1(C)C[C@H](CO)CN1C(=O)c1nn(-c2ccc(F)cc2)cc1O,-2.119645,5.38367
ZINCml000001Tg2g,C[C@@](NS(=O)(=O)[C@H]1CCOC1)(C(=O)O)c1cc(Br)ccc1F,13.567154,6.00191
ZINChb000000f3JN,COCC(=O)NCc1cccc(CC(=O)O)c1,1.0550228,10.6088915
ZINCod000009ju5M,O=C(O)C1(NC(=O)[C@H]2C[C@@H](n3cnnc3)C2)CC2(CCOCC2)C1,-4.8402114,4.1696963
ZINCp5000003J6yI,Cc1cc(=NCCOCCNC(=O)c2cnncc2O)[nH]c(CO)n1,-0.811714,6.7666016
ZINCm5000008tBFa,CN(CCNC(=O)c1nnc(O)cc1O)C(=O)[C@@H]1CCCS1,-2.5306084,6.1595926
ZINCoi00000bJUFi,CN(C(=O)c1snc(O)c1Cl)[C@H](CNC(=O)C1=NOCC1)C1CC1,-1.375468,5.482008
ZINCkx000004q1aC,O=C(Nc1nnc(-c2ccon2)s1)[C@@H]1CCCC12CC2,0.6622103,2.708762
ZINCow0000047Mfn,Cc1cc2c[nH]nc2cc1C(=O)N[C@](C)(C(=O)O)c1ccccc1,-1.0242634,4.6930633
