zincid,smiles,UMAP_1,UMAP_2
ZINCoa00000uktdx,O=C1CC(CC(=O)N[C@H]2CCC[C@H]2NC(=O)C2(F)CC=CC2)=NN1,3.484404,3.6098292
ZINChn000000I1sQ,CO[C@@H](C)CCNC(=O)c1ncc(Br)cc1O,0.9429688,8.131753
ZINCop000009ceMQ,O=C(O)COCC1CCN(C(=O)c2nc(Br)c3n2CCCC3)CC1,-4.324601,7.4781933
ZINCnc00000h0OTS,CC(=O)N1CC[C@@H](C)[C@@H](CNC(=O)CCc2nnc(S)n2C)C1,-1.9890996,-0.3963644
ZINCj500000d6Noq,C[C@@H](Cc1nn[nH]n1)NC(=O)[C@]1(C)CCCNC1=O,1.0043161,3.2953744
ZINCmq0000009YN7,C[C@@]1(NC(=O)C23CC(C(=O)O)(C2)C3)CCOc2ccccc21,-0.23317012,9.605248
ZINCmn000007ZOPS,Cc1oncc1CNC(=O)c1cc(=O)c2c(O)cccc2o1,-0.75857055,5.1301575
ZINCoz00000501Sg,CSCC[C@@H]1SC[C@H](C(=O)O)N1C(=O)COCc1ccccc1Cl,-4.735315,8.480222
ZINCjf000002QEKI,COC(=O)[C@@H]1COCCN1Cc1cccc(F)c1O,-5.2629805,7.4703865
ZINCkn00000kGOrt,C[C@H](OC1CCCC1)C(=O)N1C[C@H](F)CC[C@H]1C(=O)O,-4.586444,8.438239
ZINCj700000kGg4Z,O=C(CS(=O)(=O)C12CC(C1)C2)N[C@@H](CCCl)C(=O)O,15.190773,7.433615
ZINCox000000RdHj,O=C(O)[C@@H](C(=O)N1CCC[C@H](Cc2cccnc2)C1)C1CCCC1,-4.6376834,7.6675735
ZINCin00000kGbDU,Cc1occc1C(=O)NC12CC(CC(=O)O)(C1)C2,0.16313893,10.055586
ZINCnf0000016zbb,COc1ccc(OCC(=O)NC[C@H](C(=O)O)[C@@H]2CCOC2)cc1,-0.3279407,9.49432
ZINCnr000005SN5i,CCN(CCCC(=O)O)C(=O)Cc1ccn(-c2ccccc2)n1,-3.830959,5.2899127
ZINCnu000004GBnp,O=C(NCC=CCN=c1nc(O)c(Br)c[nH]1)[C@@H]1C[C@H]2CCC[C@H]21,0.35434774,7.661058
ZINClE0000036zRp,C[C@@H]1CN(C(=O)Nc2ncc(C(C)(C)C)s2)CC(C)(C)O1,-1.9210978,1.2149671
ZINCmi000001p5Em,CO[C@H](C(=O)O)C(=O)Nc1cccc(N2CCCCC2=O)c1,-3.7786756,8.516967
ZINCo600000riYRg,CCONC(=O)CN1CCC(=O)N(Cc2conc2COC)C1=O,1.2298535,5.7561345
ZINCpv000006K4T8,O=C(C[C@@H](O)c1cc(Cl)cc(Cl)c1)NCC[C@@H](C(=O)O)c1cn[nH]c1,-0.41452563,7.1517816
ZINCns000005QGdE,CO[C@@H]1C[C@@H](C(=O)O)N(Cc2cnn(-c3ccc(Cl)cc3)c2)C1,-4.6471744,5.9016423
ZINChc0000093fbl,Cc1nc(=NC(=O)NCC23CC(CO2)C3)o[nH]1,0.43423656,1.4209789
ZINCkE000002fkLs,CCn1nc(C)c(NS(=O)(=O)c2cc(Br)sc2C)c1C,15.189617,4.5892987
ZINCop000009YQje,CC1(C)C[C@H](CO)CN1C(=O)c1nn(-c2ccc(F)cc2)cc1O,-1.4297107,5.2823825
ZINCml000001Tg2g,C[C@@](NS(=O)(=O)[C@H]1CCOC1)(C(=O)O)c1cc(Br)ccc1F,15.607608,7.1843324
ZINChb000000f3JN,COCC(=O)NCc1cccc(CC(=O)O)c1,0.32805407,9.938399
ZINCod000009ju5M,O=C(O)C1(NC(=O)[C@H]2C[C@@H](n3cnnc3)C2)CC2(CCOCC2)C1,-3.739003,4.9078336
ZINCp5000003J6yI,Cc1cc(=NCCOCCNC(=O)c2cnncc2O)[nH]c(CO)n1,-1.2610017,6.840572
ZINCm5000008tBFa,CN(CCNC(=O)c1nnc(O)cc1O)C(=O)[C@@H]1CCCS1,-2.1029701,6.3398466
ZINCoi00000bJUFi,CN(C(=O)c1snc(O)c1Cl)[C@H](CNC(=O)C1=NOCC1)C1CC1,-1.1011139,6.279606
ZINCkx000004q1aC,O=C(Nc1nnc(-c2ccon2)s1)[C@@H]1CCCC12CC2,-0.6618335,2.073487
ZINCow0000047Mfn,Cc1cc2c[nH]nc2cc1C(=O)N[C@](C)(C(=O)O)c1ccccc1,-0.71571755,4.3611364
ZINCmd000000OY50,CS(=O)(=O)Nc1ccc(Oc2c[n+]([O-])ccc2[N+](=O)[O-])cn1,15.022255,7.9201856
ZINClq0000003MXL,CC[C@H](C(=O)O)N(CC)C(=O)c1cnc(C(C)(C)C)nc1,-4.4936895,7.7281184
ZINCnt000004cfjL,CCc1n[nH]c(=N[C@@H]2C[C@@H]3C[C@H](C2)CN3C(=O)[C@@H](CC)OC)s1,-0.98099786,0.58798283
ZINCio00000falsO,C#CCOCC(=O)Nc1nc(CC(F)(F)F)cs1,-1.5334322,2.0554938
ZINCmC000003h63e,Cc1cscc1C(=O)N[C@@H](CC(=O)O)c1c(F)cccc1F,0.87462497,10.029108
ZINCoe000009DM8p,CC(=O)N1CC2(CC[C@@H](C(=O)Nc3nc4c(s3)CN(C)CC4)O2)C1,-1.9749744,1.0428753
ZINClc00000kHSFr,CCCCn1cc([C@@]23C[C@@H]2CN(C(=O)CC(=O)O)C3)nn1,-4.0809927,4.808851
ZINCjc000002CvpE,CC1=C(C(=O)NS(=O)(=O)C[C@H]2CC[C@@H](C)O2)CCO1,15.347946,6.584866
ZINCjA000003zkDu,CC(C)OCCCCNC(=O)c1ccc(Br)c(O)c1,1.311723,9.277075
ZINCky000001tMMX,O=C(O)c1cccc(NCc2ccc3n[nH]cc3c2)c1,0.23542641,6.9175167
ZINCpn00000dvfak,CC12CN(C(=O)[C@H]3CCCN3C(=O)c3ccccc3)C(C(=O)O)(C1)C2,-4.8323,8.892462
ZINCm8000009zSzP,CC[C@@H](C(=O)N[C@H](C(=O)NC)c1ccccc1)c1nn[nH]n1,0.6239821,3.0070002
ZINCnt00000965FJ,O=C(NCC1(NC(=O)c2snc(O)c2Cl)CC1)c1cc(Cl)ns1,-0.9514883,6.2950993
ZINCpD000001GIic,CCc1nnc(NC(=O)[C@@H](C)[C@H](C)NC(=O)c2ccnc(Br)c2Cl)s1,-0.8686927,2.3896074
ZINCnd00000bjnfE,COc1ccc(C(=O)N2CCOC[C@H]2c2nn[nH]n2)c(N)c1Br,1.8750399,2.8395588
ZINCps000005v0DI,COc1cc(C[C@@H](NC(=O)[C@@H](C)c2ccco2)C(=O)O)cc(OC)c1,0.7760705,9.493536
ZINCoo00000jBWsF,Cn1cc(P(C)(C)=O)c(=NC(=O)N2CCO[C@@H](C(F)(F)F)CC2)[nH]1,0.11220497,0.64748204
ZINCnn00000bWzcF,COc1c(C(=O)Nc2csnn2)nnn1Cc1ccc(C)cc1,-0.8134497,3.7069905
ZINCmt000005s9KK,CC[C@H](COC)C(=O)Nc1ncc(C(=O)C2CCOCC2)s1,-1.9841102,1.9642081
ZINCnr000007Zfi2,O=C(N[C@H]1C[C@@H](CNC(=O)[C@@H]2C[C@H]2F)C1)c1ccc(O)c(Br)c1,1.524406,9.072881
ZINCnb000000DnkN,CN(Cc1cccc(F)c1F)C(=O)CCCn1c(O)nnc1O,-1.2977883,5.3936586
ZINCmi000004TUOI,CON=CC(=O)NC1CC(CCN=c2nc(O)c(Br)c[nH]2)C1,0.28845328,7.5933714
ZINClp000008Yw5U,Cc1cn(C(F)F)[nH]c1=NC(=O)NCCn1ccnc1C,-0.017889008,1.6824342
ZINCoy0000006PsC,COc1cccc(S(=O)(=O)NC(=O)c2ccc(F)c(CSC)c2)c1,16.558195,6.862113
ZINCp500000fN8gN,NC(=O)NCCC[C@H](NC(=O)c1ccc(-n2cccn2)nc1)C(=O)O,-2.985717,4.5149503
ZINCny000002CQDv,COC(=O)c1[nH][nH]c(=NC(=O)NC2CCC(C(C)C)CC2)c1C,-0.112689935,2.5052044
ZINCo7000003Q3C6,C[C@H](C[C@@H](C)NC(=O)c1cccn(O)c1=O)NC(=O)c1cn[nH]c1,-1.639822,6.528398
ZINCoD000000VmhU,CC(F)(F)C[C@H](NCc1c(F)cccc1OCC(F)(F)F)C(=O)O,1.215162,8.97397
ZINCoA000000oEpo,CCc1ccc(-c2csc(NC(=O)c3c(C)ncnc3O)n2)cc1,-1.3751109,3.1741235
ZINCpo00000dsaVr,CC(C)(NC(=O)CCCCCCCS(C)(=O)=O)c1cc(C(=O)O)[nH]n1,14.379438,5.522918
ZINCmn00000dB59q,O=C(N[C@H](CF)c1ccc(-c2nn[nH]n2)cc1)c1cncs1,0.2964096,2.9503307
ZINCi70000012HKw,C[C@@H](C[C@@H]1CCCO1)C(=O)N[C@@H](CCO)C(=O)O,-0.5451091,9.915811
ZINCo9000004tdpe,CCn1nc(C(=O)NCC[C@H]2CCCN(C(=O)[C@H](C)O)C2)cc1O,-2.254724,6.178391
ZINCnx000002gAhk,CCc1ncncc1NS(=O)(=O)c1ccccc1OC(F)(F)F,16.37799,5.44154
