receptor_id,ligand_id,receptor_design_ligand_id,receptor_design_rank,receptor_design_design_to_target_iptm,receptor_design_min_design_to_target_pae,boltz2_affinity_probability_binary,boltz2_affinity_pred_value
DAMGO_rank31,naltrexone,DAMGO_rank31__naltrexone,31,0.77797,2.06725,0.23449679712454477,1.508671482404073
DAMGO_rank31,nitazene,DAMGO_rank31__nitazene,31,0.77797,2.06725,0.31114497284094494,1.1294371684392293
morphine_rank1,DAMGO,morphine_rank1__DAMGO,1,0.84079,1.8387,0.17414808770020804,1.465224266052246
morphine_rank1,naltrexone,morphine_rank1__naltrexone,1,0.84079,1.8387,0.5142403841018677,0.9165148735046387
morphine_rank1,nitazene,morphine_rank1__nitazene,1,0.84079,1.8387,0.3778576950232188,0.8430252075195312
morphine_rank2,morphine,morphine_rank2__morphine,2,0.79122,2.26876,0.5859386722246805,0.4410696029663086
morphine_rank2,naltrexone,morphine_rank2__naltrexone,2,0.79122,2.26876,0.7672703067461649,-0.7255285978317261
morphine_rank3,DAMGO,morphine_rank3__DAMGO,3,0.80342,1.776,0.15068912009398142,1.181795557339986
morphine_rank3,naltrexone,morphine_rank3__naltrexone,3,0.80342,1.776,0.5893423656622568,-0.09193283940354983
morphine_rank3,nitazene,morphine_rank3__nitazene,3,0.80342,1.776,0.21409099797407785,1.4716976086298625
morphine_rank4,morphine,morphine_rank4__morphine,4,0.85512,1.1895,0.5062426825364431,0.5113607595364252
morphine_rank4,naltrexone,morphine_rank4__naltrexone,4,0.85512,1.1895,0.9694472750027975,-1.2554932832717896
morphine_rank5,DAMGO,morphine_rank5__DAMGO,5,0.81804,1.67799,0.18139371772607168,1.6572373310724895
morphine_rank5,morphine,morphine_rank5__morphine,5,0.81804,1.67799,0.8735036651293436,0.768182377020518
morphine_rank5,naltrexone,morphine_rank5__naltrexone,5,0.81804,1.67799,0.20827852189540863,1.4254738092422485
morphine_rank6,DAMGO,morphine_rank6__DAMGO,6,0.82505,1.57411,0.17407744626204172,1.077176292737325
morphine_rank6,morphine,morphine_rank6__morphine,6,0.82505,1.57411,0.4317263662815094,1.0385931928952534
morphine_rank6,naltrexone,morphine_rank6__naltrexone,6,0.82505,1.57411,0.23689942061901093,0.8629137476285299
morphine_rank7,DAMGO,morphine_rank7__DAMGO,7,0.81138,1.9822,0.1531381607055664,1.5870821078618367
morphine_rank8,morphine,morphine_rank8__morphine,8,0.79539,2.13897,0.24243950843811035,1.3286731640497844
morphine_rank8,naltrexone,morphine_rank8__naltrexone,8,0.79539,2.13897,0.22951319317022958,0.08136960864067078
morphine_rank8,nitazene,morphine_rank8__nitazene,8,0.79539,2.13897,0.3064453601837158,0.8616601228713989
morphine_rank9,morphine,morphine_rank9__morphine,9,0.78974,1.83766,0.31251827379067737,1.5040674606959026
morphine_rank9,nitazene,morphine_rank9__nitazene,9,0.78974,1.83766,0.21649295091629028,1.3284475803375244
morphine_rank10,DAMGO,morphine_rank10__DAMGO,10,0.73323,2.20119,0.3383757174015045,0.7968167165915171
morphine_rank10,naltrexone,morphine_rank10__naltrexone,10,0.73323,2.20119,0.2603016793727875,1.1335541208585103
morphine_rank10,nitazene,morphine_rank10__nitazene,10,0.73323,2.20119,0.24460458755493164,1.4323384960492451
morphine_rank11,DAMGO,morphine_rank11__DAMGO,11,0.7956,2.24375,0.12989776084820429,1.5632070302963257
morphine_rank12,DAMGO,morphine_rank12__DAMGO,12,0.74895,2.43102,0.16034575055042902,1.6188142697016399
morphine_rank12,morphine,morphine_rank12__morphine,12,0.74895,2.43102,0.17399742702643076,2.1814756393432617
morphine_rank12,naltrexone,morphine_rank12__naltrexone,12,0.74895,2.43102,0.17833594729502997,1.444201111793518
morphine_rank12,nitazene,morphine_rank12__nitazene,12,0.74895,2.43102,0.4854267140229543,1.1256510019302368
morphine_rank13,DAMGO,morphine_rank13__DAMGO,13,0.80433,1.58687,0.1646222323179245,1.3704627553621929
morphine_rank14,DAMGO,morphine_rank14__DAMGO,14,0.82108,1.51666,0.2654729833205541,1.1447768211364746
morphine_rank14,morphine,morphine_rank14__morphine,14,0.82108,1.51666,0.21687797208627066,1.47922287384669
morphine_rank14,nitazene,morphine_rank14__nitazene,14,0.82108,1.51666,0.3061862091223399,1.1730305751164753
morphine_rank15,morphine,morphine_rank15__morphine,15,0.72475,2.50138,0.3039211630821228,1.4430369933446248
morphine_rank15,nitazene,morphine_rank15__nitazene,15,0.72475,2.50138,0.1896008849143982,1.3746650218963623
morphine_rank16,DAMGO,morphine_rank16__DAMGO,16,0.71865,2.51461,0.27283135056495667,1.5336498816808064
morphine_rank16,naltrexone,morphine_rank16__naltrexone,16,0.71865,2.51461,0.24639330804347992,1.3671269019444783
morphine_rank16,nitazene,morphine_rank16__nitazene,16,0.71865,2.51461,0.22888538241386414,1.1263225078582764
morphine_rank17,DAMGO,morphine_rank17__DAMGO,17,0.81376,1.85859,0.28024232387542725,0.4983239670594533
morphine_rank18,nitazene,morphine_rank18__nitazene,18,0.83993,2.06086,0.38742493589719135,1.0726019144058228
morphine_rank19,morphine,morphine_rank19__morphine,19,0.7942,1.56312,0.32846230765183765,1.3828785419464111
morphine_rank19,nitazene,morphine_rank19__nitazene,19,0.7942,1.56312,0.611645887295405,0.747497022151947
morphine_rank20,DAMGO,morphine_rank20__DAMGO,20,0.77169,1.84484,0.17272865772247314,1.579564372698466
morphine_rank20,naltrexone,morphine_rank20__naltrexone,20,0.77169,1.84484,0.2750931630531947,1.5762029886245728
morphine_rank21,nitazene,morphine_rank21__nitazene,21,0.77182,2.56298,0.5647631287574768,0.7469452520211538
morphine_rank22,naltrexone,morphine_rank22__naltrexone,22,0.73206,1.8233,0.8139193654060364,0.3502436975638072
morphine_rank23,nitazene,morphine_rank23__nitazene,23,0.7213,2.52949,0.2267654538154602,1.343918800354004
morphine_rank24,naltrexone,morphine_rank24__naltrexone,24,0.76107,2.54705,0.1772067571679751,0.9335112571716309
morphine_rank25,DAMGO,morphine_rank25__DAMGO,25,0.71764,2.44575,0.32196494936943054,1.4331164360046387
morphine_rank25,morphine,morphine_rank25__morphine,25,0.71764,2.44575,0.40030603607495624,1.6276142994562786
morphine_rank25,nitazene,morphine_rank25__nitazene,25,0.71764,2.44575,0.33852184812227887,1.2221816778182983
morphine_rank26,morphine,morphine_rank26__morphine,26,0.77764,2.25429,0.2306147168080012,1.8044352531433105
morphine_rank27,DAMGO,morphine_rank27__DAMGO,27,0.71489,2.53755,0.28072987993558246,1.5197806358337402
morphine_rank27,morphine,morphine_rank27__morphine,27,0.71489,2.53755,0.4752422869205475,1.9637949069341023
morphine_rank27,naltrexone,morphine_rank27__naltrexone,27,0.71489,2.53755,0.28505012889703113,1.2847440242767334
morphine_rank27,nitazene,morphine_rank27__nitazene,27,0.71489,2.53755,0.42483657598495483,1.4805038372675579
morphine_rank28,DAMGO,morphine_rank28__DAMGO,28,0.72341,2.45408,0.17669638494650522,1.7017149527867634
morphine_rank28,morphine,morphine_rank28__morphine,28,0.72341,2.45408,0.1506094684203466,1.959047754605611
morphine_rank28,naltrexone,morphine_rank28__naltrexone,28,0.72341,2.45408,0.17513661086559296,1.7373243570327759
morphine_rank31,morphine,morphine_rank31__morphine,31,0.71947,2.42522,0.21885574360688528,1.699995756149292
morphine_rank31,nitazene,morphine_rank31__nitazene,31,0.71947,2.42522,0.2218365321556727,0.9195619225502014
naltrexone_rank1,DAMGO,naltrexone_rank1__DAMGO,1,0.81453,2.0957,0.17862885693709055,1.6541556119918823
naltrexone_rank1,morphine,naltrexone_rank1__morphine,1,0.81453,2.0957,0.18828686575094858,1.8078842560450237
naltrexone_rank1,naltrexone,naltrexone_rank1__naltrexone,1,0.81453,2.0957,0.33375691374142963,1.240281581878662
naltrexone_rank1,nitazene,naltrexone_rank1__nitazene,1,0.81453,2.0957,0.28479557236035663,1.1849536895751953
naltrexone_rank2,DAMGO,naltrexone_rank2__DAMGO,2,0.80345,2.06179,0.20960437009731928,1.5175960461298625
naltrexone_rank2,morphine,naltrexone_rank2__morphine,2,0.80345,2.06179,0.2662932773431142,1.4033722877502441
naltrexone_rank2,naltrexone,naltrexone_rank2__naltrexone,2,0.80345,2.06179,0.43572623531023663,0.8985676964124044
naltrexone_rank2,nitazene,naltrexone_rank2__nitazene,2,0.80345,2.06179,0.4562377631664276,0.8416396379470825
naltrexone_rank3,DAMGO,naltrexone_rank3__DAMGO,3,0.78245,2.25015,0.14715738842884699,1.5065207084019978
naltrexone_rank3,morphine,naltrexone_rank3__morphine,3,0.78245,2.25015,0.24429374436537424,1.574885884920756
naltrexone_rank3,naltrexone,naltrexone_rank3__naltrexone,3,0.78245,2.25015,0.3030150185028712,1.0290554563204448
naltrexone_rank3,nitazene,naltrexone_rank3__nitazene,3,0.78245,2.25015,0.3461373746395111,0.9102190136909485
naltrexone_rank4,DAMGO,naltrexone_rank4__DAMGO,4,0.7982,2.30641,0.27501749992370605,1.549708406130473
naltrexone_rank4,morphine,naltrexone_rank4__morphine,4,0.7982,2.30641,0.33222636580467224,1.517844796180725
naltrexone_rank4,naltrexone,naltrexone_rank4__naltrexone,4,0.7982,2.30641,0.30627543727556866,1.0606291095415752
naltrexone_rank4,nitazene,naltrexone_rank4__nitazene,4,0.7982,2.30641,0.37751757105191547,1.0311543544133503
naltrexone_rank5,DAMGO,naltrexone_rank5__DAMGO,5,0.78734,1.74408,0.16618353625138602,1.294004003206889
naltrexone_rank5,morphine,naltrexone_rank5__morphine,5,0.78734,1.74408,0.3463719387849172,0.8735345800717672
naltrexone_rank5,naltrexone,naltrexone_rank5__naltrexone,5,0.78734,1.74408,0.8157978256543478,-0.1584288477897644
naltrexone_rank5,nitazene,naltrexone_rank5__nitazene,5,0.78734,1.74408,0.301112840572993,1.223308841387431
naltrexone_rank6,DAMGO,naltrexone_rank6__DAMGO,6,0.81397,1.53738,0.33122337857882184,1.5602375467618306
naltrexone_rank6,morphine,naltrexone_rank6__morphine,6,0.81397,1.53738,0.2502235174179077,1.7627432346343994
naltrexone_rank6,naltrexone,naltrexone_rank6__naltrexone,6,0.81397,1.53738,0.6829099853833517,0.5752912958463033
naltrexone_rank6,nitazene,naltrexone_rank6__nitazene,6,0.81397,1.53738,0.2816344251235326,0.8571590383847555
naltrexone_rank7,DAMGO,naltrexone_rank7__DAMGO,7,0.78927,2.39733,0.1406386742989222,0.939219464858373
naltrexone_rank7,morphine,naltrexone_rank7__morphine,7,0.78927,2.39733,0.3238612910111745,1.439304788907369
naltrexone_rank7,naltrexone,naltrexone_rank7__naltrexone,7,0.78927,2.39733,0.6404831608136495,-0.12235715240240097
naltrexone_rank7,nitazene,naltrexone_rank7__nitazene,7,0.78927,2.39733,0.4722885588804881,0.7835322817166647
naltrexone_rank8,DAMGO,naltrexone_rank8__DAMGO,8,0.79626,1.97571,0.2540403554836909,1.0198679367701213
naltrexone_rank8,morphine,naltrexone_rank8__morphine,8,0.79626,1.97571,0.21082609395186105,1.5467945337295532
naltrexone_rank8,naltrexone,naltrexone_rank8__naltrexone,8,0.79626,1.97571,0.10360231250524521,1.2510395447413127
naltrexone_rank8,nitazene,naltrexone_rank8__nitazene,8,0.79626,1.97571,0.35223792990048725,0.8133624196052551
naltrexone_rank9,DAMGO,naltrexone_rank9__DAMGO,9,0.7873,2.36105,0.13547612726688385,1.2278101841608684
naltrexone_rank9,morphine,naltrexone_rank9__morphine,9,0.7873,2.36105,0.15791594485441843,2.054939031600952
naltrexone_rank9,naltrexone,naltrexone_rank9__naltrexone,9,0.7873,2.36105,0.36732934912045795,0.9055313070615133
