SMILES,Visits,Score,Q_Value,Depth
CCC1=CC(=O)C(=Cc2cccc(S(=O)(=O)Nc3cc(F)c(F)c(F)c3)c2)CC1,1,9.559999999999999,8.708214285714288,31
Nc1cc(F)c(F)cc1NS(=O)(=O)c1cc(C=C2CCC(NC3=CC(=O)CCC3)=CC2=O)ccc1Cl,1,9.55,8.616666666666669,22
Cc1c(NS(=O)(=O)c2cccc(CC=C3CC4(C)CC(=O)CC(C)(C3)C4)c2)cc(C2CC2)cc1C(F)(F)F,0,9.540000000000001,0.0,25
Cc1cc(C)cc(NC(=O)C2(Oc3ccc(-c4ccc(C(F)(F)F)cc4)cc3)C=CCC2)c1,1,9.540000000000001,8.489655172413794,24
CC1=CC(=O)C(=Cc2cc(S(=O)(=O)Nc3c(F)cc(F)c(O)c3F)ccc2F)CC1,1,9.54,8.87,22
CCC=C1CCCC(O)(c2c(F)cc(NS(=O)(=O)c3cccc(F)c3)cc2F)C1,1,9.53,8.708214285714288,30
O=C1CCC(=Cc2cccc(O)c2)CC1=Cc1cccc(S(=O)(=O)Nc2cc(F)c(O)c(F)c2F)c1,1,9.53,8.826333333333334,24
Cc1c(NS(=O)(=O)c2cccc(C=C3CC(=O)C(C)C3=O)c2)cc(C=C2CC(C)C2)cc1C(F)(F)F,1,9.53,8.814285714285713,22
NC1=CC(=O)C(=Cc2ccc(Cl)c(S(=O)(=O)Nc3cc(F)c(F)cc3NC3=CC(=O)CCC3)c2)CC1,2,9.53,8.616666666666669,21
CC1=CC(O)(c2cccc(NS(=O)(=O)c3cccc(C(=O)Nc4cc(F)c(C)c(F)c4)c3)c2)CC1,1,9.52,8.169333333333334,28
CC1=CC(Oc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)(C(=O)Nc2cc(C)cc(C)c2)CC1,1,9.52,8.489655172413794,23
CC1=C(Nc2cc(F)c(F)cc2NS(=O)(=O)c2cc(C=C3CCC(N)=CC3=O)ccc2F)CC1=O,1,9.52,8.616666666666669,23
CC1=CC(=O)C(=Cc2cccc(S(=O)(=O)Nc3c(F)cc(F)cc3F)c2)CC1,1,9.51,8.708214285714288,30
Cc1ccc(C2(O)CCC(=O)CC2=CC(=O)c2cccc(Br)c2)cc1S(=O)(=O)Nc1c(O)c(Cl)cc(C)c1F,1,9.5,8.826333333333334,21
CC1=CC(=O)C(=Cc2ccc(F)c(S(=O)(=O)Nc3cc(F)c(F)cc3NC3=CC(NC4=CC(=O)CCC4)CCC3)c2)CC1,1,9.499999999999998,8.616666666666669,23
