source	mc_kt	ntrials	score	rmsd_native	open_distance
FastRelax	nan	nan	-529.4199155416513	2.3583147525787354	18.425214767456055
FastRelax	nan	nan	-540.5417770007583	2.110024929046631	18.46425437927246
FastRelax	nan	nan	-543.759078934961	2.5913918018341064	18.005868911743164
FastRelax	nan	nan	-520.0315531899678	2.3369264602661133	18.06316566467285
FastRelax	nan	nan	-552.9086010085456	2.3126437664031982	17.91097068786621
BackRub	0.4	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	10000	-513.5122060072625	2.596309185028076	18.005868911743164
BackRub	0.4	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	10000	-513.9458053394043	2.595703125	18.005868911743164
BackRub	0.4	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	10000	-514.5876949012212	2.605800151824951	18.005868911743164
BackRub	0.4	10000	-514.7709172257582	2.6039083003997803	17.99689292907715
BackRub	0.4	10000	-515.340504068208	2.598031520843506	18.005868911743164
BackRub	0.4	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	10000	-513.855875864245	2.6006691455841064	18.009071350097656
BackRub	0.4	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	10000	-513.1776295663733	2.599050283432007	17.979324340820312
BackRub	0.4	10000	-513.8931233580456	2.6056690216064453	18.005868911743164
BackRub	0.4	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	10000	-514.5144743343692	2.598698854446411	18.005868911743164
BackRub	0.4	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	10000	-512.972053434922	2.598133087158203	18.005868911743164
BackRub	0.4	10000	-513.9639864190659	2.5989460945129395	18.005868911743164
BackRub	0.4	10000	-514.0914747122479	2.595731258392334	18.005868911743164
BackRub	0.4	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	1000	-514.1765875237554	2.598628520965576	18.005868911743164
BackRub	0.4	1000	-513.819369729439	2.5945115089416504	18.005868911743164
BackRub	0.4	1000	-515.0482892998656	2.597855806350708	18.036970138549805
BackRub	0.4	1000	-512.6722388624692	2.5890095233917236	18.005868911743164
BackRub	0.4	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	1000	-513.6407724010513	2.5925168991088867	18.005868911743164
BackRub	0.4	1000	-513.3417673614734	2.596656084060669	18.005868911743164
BackRub	0.4	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	1000	-514.0127291445631	2.6003925800323486	17.95762062072754
BackRub	0.4	1000	-514.2072705983536	2.5983877182006836	18.005868911743164
BackRub	0.4	1000	-514.5599119010649	2.609951972961426	18.005868911743164
BackRub	0.4	1000	-512.8711545537969	2.5971450805664062	18.005868911743164
BackRub	0.4	1000	-516.2796451720887	2.6006920337677	17.988996505737305
BackRub	0.4	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	1000	-513.2353247284777	2.5990610122680664	18.005868911743164
BackRub	0.4	1000	-513.2348145708571	2.59816837310791	18.005868911743164
BackRub	0.4	1000	-514.604212902661	2.5990946292877197	18.029674530029297
BackRub	0.4	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	5000	-513.7386679707497	2.594528913497925	18.005868911743164
BackRub	0.4	5000	-513.5698269667349	2.5965380668640137	18.005868911743164
BackRub	0.4	5000	-513.2666291525222	2.5991694927215576	18.005868911743164
BackRub	0.4	5000	-513.8285510894672	2.6003434658050537	18.005868911743164
BackRub	0.4	5000	-513.4030097635504	2.599522590637207	18.005868911743164
BackRub	0.4	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	5000	-513.4482424532441	2.58994197845459	18.005868911743164
BackRub	0.4	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	5000	-513.7423381164915	2.5987348556518555	18.005868911743164
BackRub	0.4	5000	-514.2243912527654	2.600142240524292	18.005868911743164
BackRub	0.4	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	5000	-514.278252769057	2.6000261306762695	18.005868911743164
BackRub	0.4	5000	-514.2547539237324	2.586984157562256	17.999473571777344
BackRub	0.4	5000	-513.0826842097134	2.596646308898926	18.005868911743164
BackRub	0.4	5000	-513.4744574757035	2.599362850189209	18.005868911743164
BackRub	0.4	5000	-513.9662045013852	2.599313259124756	18.005868911743164
BackRub	0.4	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.4	5000	-515.0421246944474	2.600703239440918	18.005868911743164
BackRub	0.4	5000	-512.9277069361627	2.5991876125335693	18.005868911743164
BackRub	0.7	10000	-513.5130519832742	2.589085817337036	18.005868911743164
BackRub	0.7	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	10000	-513.0515869154981	2.5986886024475098	18.005868911743164
BackRub	0.7	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	10000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	10000	-513.1549237342693	2.599285125732422	18.028820037841797
BackRub	0.7	10000	-513.4473772396431	2.5998945236206055	18.005868911743164
BackRub	0.7	10000	-513.4973815076978	2.5989904403686523	18.005868911743164
